风速(m/s),风向,室外温度,电网有功功率
5.86,-5.89,14.89,762.47
5.89,-4.25,16.09,756.96
6.22,1.66,16.52,686.95
6.3,-1.34,16.18,871.35
5.82,-4.69,15.33,760.84
5.85,1,17.16,632.48
5.4,-0.8,18.08,580.03
5.15,-3.37,17.93,521.36
5.46,-2.85,17.89,614.6
5.41,-4.82,17.6,585.77
6.13,-5.25,17.2,800.29
6.72,-3.96,17.2,"1,140.26"
6.96,-4.07,16.66,"1,451.30"
7.03,-5.49,16.67,"1,526.22"
6.47,-2.18,17.04,"1,111.03"
6.46,-1.82,17.26,913.61
5.74,-2.94,17.19,723.14
6.04,-6.08,17.11,812.82
5.71,-5.21,17.79,739.17
4.82,-3.37,18.22,499.39
5.09,-4.57,18.25,518.06
5.33,-1.65,18.6,560.94
4.92,-0.08,19.04,442.6
4.97,0.08,19.09,490.45
4.55,1.7,18.93,339.52
4.71,1.82,18.92,365.94
5.01,3.35,18.83,390.37
4.93,5.44,19.01,311.77
4.9,6.46,18.95,347.47
5.1,7.03,18.83,329.71
4.58,6.56,19.3,248.84
4.45,2.63,19.5,281.64
4.23,6.48,19.22,191.47
3.96,5.66,19.55,157.83
2.87,2.54,22.39,49.08
1.96,15.06,22.32,6.53
2.32,46.08,24.42,0
2.17,54.37,24.5,0
1.74,36.53,21.95,0
1.41,14.91,18.46,0
0.94,19.07,17.31,0
2.16,12.34,16.74,0
3.27,4.64,16.1,39.03
3.34,-2.51,15.64,122.79
3.75,6.07,15.74,157.15
3.74,4.73,15.76,178.26
4.04,-0.2,15.89,194.77
3.67,-3.36,16.08,186.06
4,-6.82,15.98,213.57
3.71,-4.83,16.24,194.64
3.19,-7.25,16.24,129
3.04,-6.09,15.96,91.96
2.87,-5.17,16.04,77.21
2.27,-10.66,16.19,24.99
1.74,-2.14,15.78,0
3.33,10.77,15.85,68.55
4.25,-0.49,16.07,239.82
4.09,-6.27,16.02,237.77
4.37,1.73,16.09,259.63
4.46,-2.98,16.36,329.11
4.42,-2.77,16.45,360.54
4.88,-1.16,16.31,432.41
4.75,-2.33,16.47,431.05
4.51,-6.48,16.34,355.59
4.71,-4.88,16.12,405.98
4.82,-6.73,15.87,437.58
4.83,-5.85,16.13,438.62
5,1.02,16.24,417.51
5.06,-0.46,16.07,425.19
5.33,6.66,16.34,423.19
5.1,3.23,16.46,440.28
4.61,-1.16,16.56,385.32
4.52,-0.81,16.42,331.86
4.59,4.64,16.59,336.58
4.95,4.48,16.55,375.18
4.95,2.86,16.45,401.86
4.79,-1.93,16.87,402.59
4.41,-1.58,16.79,297.33
4.54,-1.01,16.66,285.5
4.76,3.93,16.85,339.43
4.68,-2.56,16.68,270.94
4.7,-6.06,16.87,353.37
4.66,-6.12,16.96,348.5
4.89,-4.91,16.79,383.99
4.09,-8.36,17.1,237.88
3.21,-4.54,17.06,94.61
3.29,4.88,16.62,92.39
3.21,-1.72,16.69,84.5
3.56,-0.83,16.7,136.69
3.55,-1.64,16.48,133.52
3.68,1.51,16.22,136.08
3.85,1.86,16.41,189.68
4.02,-0.65,16.11,170.76
3.95,-7.03,15.93,180.4
3.33,0.56,16.12,92.82
2.69,-9.9,16.37,51.01
1.26,-18.63,16.41,0
1.46,-8.05,16.41,0
0.64,-2.14,16.03,0
1.59,-7.43,15.85,0
1.37,-4.82,15.83,0
1.27,-13.14,15.77,0
1.26,-13.76,15.64,0
1.04,-10.37,15.59,0
2.54,-6.27,15.59,0
2.16,-4.36,15.57,0
2.16,1.16,15.5,0
3.5,-4.45,15.44,124.03
4.5,-5.68,15.34,368.17
4.45,-2.21,15.12,304.34
4.72,-3.36,15.24,392.39
5.02,-3.9,15.13,460.94
5.49,0.28,15.31,589.75
6.51,6.09,15.47,796.87
6.65,5.51,15.63,870.84
6.42,3.79,15.84,868.19
6.68,1.71,15.87,892.1
6.34,-1.48,15.86,841.96
6.51,-2.24,15.64,938.67
6.76,-3.38,15.71,898.68
6.98,-5.22,15.84,"1,374.72"
7.01,-6.13,15.79,"1,368.05"
7.19,-3.79,15.86,"1,465.46"
7.08,-3.29,16.24,"1,532.37"
7.6,-2.65,16.19,"1,658.99"
7.58,2.53,15.93,"1,518.60"
7.66,6.61,15.9,"1,291.68"
7.65,5.4,15.88,"1,394.35"
7.38,1.81,15.79,"1,468.13"
7.22,-0.61,16,"1,502.89"
7.89,4.35,15.82,"1,632.40"
7.53,6.46,15.81,"1,375.68"
6.66,-2.04,16.31,957.02
6.66,-0.98,16.12,"1,079.96"
6.87,1.4,15.93,"1,052.52"
6.43,5.39,16.2,819.67
5.9,1.16,16.23,727.22
5.71,6.81,16.13,561.92
4.83,-4.93,16.58,485.91
4.97,-2.23,16.68,478.49
4.93,-0.7,16.74,460.49
4.27,-3.86,17.46,335.1
4.68,-6.99,17.75,432.85
5.12,1.02,17.36,490.71
4.82,-0.89,16.95,313.83
4.17,-2.19,17.01,286.58
3.83,-6.49,16.81,249.09
3.83,-5.89,16.69,240.36
4.21,0.21,16.76,299.62
4.83,0.88,17,407.58
5.24,0.84,16.94,505.01
5.14,-3.47,16.88,568.34
5.27,-8.47,16.46,566.54
5.11,-5.92,16.75,551.15
5.11,-3.05,16.58,534
4.83,-2.05,16.59,455.93
4.56,2.07,16.9,304.93
4.1,3.01,17.24,266.43
4.2,5.83,17.82,252.07
4.29,4.58,18.03,254.47
4.2,2.39,18.53,222.16
4.03,2.25,19.07,222.69
4.17,2.45,19.4,221.77
4.07,-0.44,19.41,206.87
3.46,-2.22,19.04,161.93
3.44,-4.44,18.85,154.84
2.79,-0.44,18.93,94.79
2.61,10.67,18.9,33.37
2.11,9.03,19.2,0
1.2,6.68,19.58,0
1.29,-0.36,20.09,0
1.37,-6.93,19.62,0
1.03,14.55,20.07,0
1.09,31.01,20.65,0
0.31,34.95,20.64,0
0.02,34.35,20.8,0
0.02,22.96,20.03,0
0.01,33.48,19.89,0
0.01,11.88,20.41,0
0.01,44.07,19.76,0
0.01,34.5,18.74,0
0.01,28.21,18,0
0.01,41.06,17.27,0
0.01,56.18,17.33,0
0.01,79.91,17.16,0
0.01,92.58,16.75,0
0.01,80.6,16.73,0
0.01,63.58,16.69,0
0.01,55.21,16.74,0
0.01,56.2,16.88,0
0.01,82.91,17.11,0
0.01,75.47,17.01,0
0.01,71.09,16.98,0
0.01,68.39,17.06,0
0.01,79.88,16.88,0
0.01,67.91,16.77,0
0.01,60.19,16.57,0
0.01,53.79,16.66,0
0.01,53.28,16.63,0
0.01,58.21,16.64,0
0.01,74.4,16.96,0
0.01,76.86,16.96,0
0.01,59.5,17.01,0
0.01,42.5,16.55,0
0.01,29.4,16.35,0
0.01,20.72,16.36,0
0.01,28.3,16.35,0
0.01,20,16.4,0
0.01,27.09,16.4,0
1.11,34.82,16.4,0
1.1,3.9,16.77,0
0.36,9.63,16.92,0
1.42,2.74,17.03,0
1.52,6.58,17.09,0
1.69,10.91,16.88,0
0.01,22.35,16.71,0
1.06,32.02,16.51,0
0.06,10.11,16.53,0
0.02,10.38,16.41,0
0.01,6.24,16.49,0
0.01,9.74,16.48,0
0.01,1.28,16.41,0
0.02,1.45,16.46,0
0.01,14.42,16.49,0
0.01,7.55,16.41,0
0.01,8.37,16.45,0
0.01,19.99,16.36,0
0.01,24.34,16.26,0
0.01,16.06,16.18,0
0.01,10.86,16.21,0
0.01,-16.01,16.15,0
0.01,-36.52,16.04,0
0.01,-51.01,15.89,0
0.01,-42.18,15.86,0
0.01,-28.33,15.98,0
0.01,-30.35,15.91,0
0.01,-40.24,15.9,0
0.01,-33.31,15.92,0
0.01,-32.24,16,0
0.1,-40.57,15.9,0
0.52,-37.1,15.81,0
0.01,-36.78,15.65,0
0.01,-39.06,15.6,0
0.01,-51.29,15.58,0
0.14,-52.67,15.4,0
0.58,-46.02,15.51,0
2.07,-38.92,15.65,0
0.5,-4.44,15.74,0
2.31,-3.28,15.81,0
0.78,-5.61,15.81,0
1.94,-7.83,15.8,0
2.64,-6.71,15.81,0
3.04,-3.87,15.88,84.1
3.63,-5.11,15.88,169.48
4.09,-4.44,15.87,189.74
4.11,-2.72,15.85,209.67
4.3,-2.06,15.76,222.08
5.03,-2.8,15.88,359.77
5.57,-3.01,15.98,576.02
6.14,0.12,15.98,718.87
6.23,-0.42,16.06,771
6.32,-7.01,15.9,802.25
6.73,1.48,15.94,846.21
6.1,-1.88,15.97,694.59
6.03,-0.91,16.05,602.45
6.34,-0.01,16.03,759.06
6.69,5.01,16.21,815.3
7.08,5.84,16.04,931
6.96,4.06,16.17,974.99
6.32,-3.96,16.53,890.63
6.69,-4.7,16.48,"1,008.40"
6.94,-7.24,16.34,"1,118.66"
7.05,-7.15,16.2,"1,186.67"
6.8,-5.32,16.36,"1,183.07"
6.64,-5.44,16.52,"1,148.33"
7.29,0.71,16.28,"1,195.86"
7.06,1.93,16.54,936.2
6.82,-7.56,16.85,"1,137.68"
7.14,-0.97,16.8,"1,201.65"
7.8,7.89,17.03,"1,275.44"
7.57,5.16,17.29,"1,268.21"
7.27,6.61,17.21,"1,046.65"
6.74,-1.21,17.15,"1,040.39"
6.7,0.35,17.25,938.28
6.61,-4.4,17.15,992.29
6.88,0.81,17.54,"1,051.08"
6.49,-2.05,17.79,947.73
6.86,-5.27,17.42,"1,140.56"
7.05,-3.2,17.5,"1,157.01"
7.71,5.07,17.72,"1,318.73"
7.12,3.1,17.85,"1,175.08"
6.96,3.08,17.7,"1,092.06"
7,1.49,18.03,"1,092.73"
6.69,-4.29,18.17,"1,101.27"
6.95,-3.82,17.87,"1,188.18"
6.75,-4.55,18.08,"1,173.95"
6.56,-8.47,18.62,"1,156.79"
6.79,-3.81,18.26,"1,062.08"
6.85,-2.18,18.34,"1,065.31"
